nemo,run,serie,tipoentidad,row,nombre_cmf
CFICIP7E-E,9214,E,FINRE,AAAw+cAAhAABP4NAAk,FONDO DE INVERSION HMC CIP VII GLOBAL SECONDARIES
CFICIPII-E,9214,I,FINRE,AAAw+cAAhAABP4NAAk,FONDO DE INVERSION HMC CIP VII GLOBAL SECONDARIES
CFICIP7B-E,9230,UNICA,FINRE,AAAw+cAAhAABP4MAAu,FONDO DE INVERSION HMC CIP VII GLOBAL SECONDARIES II
CFINHPTN-E,7228,UNICA,FINRE,AAAw+cAAhAABP4IAAh,FONDO DE INVERSION HMC PNTN
CFMITNIPSA,9019,UNICA,RGFMU,AAAw+cAAhAABP4GAAp,FONDO MUTUO ETF IT NOW S&P IPSA
CFMESGIPSA,9019,UNICA,RGFMU,AAAw+cAAhAABP4GAAp,FONDO MUTUO ETF IT NOW S&P IPSA
CFIPHVD9-E,9327,UNICA,FINRE,AAAw+cAAhAABP4MAA2,PICTON - HARBOURVEST DOVER IX FULLY FUNDED FONDO DE INVERSION
CFIVPE6A-E,9723,A,FINRE,AAAw+cAAhAABP4UAAh,VOLCOMCAPITAL PRIVATE EQUITY VI FONDO DE INVERSIÓN
CFIVPE6B-E,9723,B,FINRE,AAAw+cAAhAABP4UAAh,VOLCOMCAPITAL PRIVATE EQUITY VI FONDO DE INVERSIÓN
CFIVPE6C-E,9723,C,FINRE,AAAw+cAAhAABP4UAAh,VOLCOMCAPITAL PRIVATE EQUITY VI FONDO DE INVERSIÓN
CFIVPE6D-E,9723,D,FINRE,AAAw+cAAhAABP4UAAh,VOLCOMCAPITAL PRIVATE EQUITY VI FONDO DE INVERSIÓN
CFITDPFS-E,9970,S,FIRES,AAAw+cAAhAABQKEAAL,TOESCA DEUDA PRIVADA FACTURAS FONDO DE INVERSIÓN
CFITDPFT-E,9970,T,FIRES,AAAw+cAAhAABQKEAAL,TOESCA DEUDA PRIVADA FACTURAS FONDO DE INVERSIÓN
CFIHMCRGPB,9769,BP,FIRES,AAAw+cAAhAABP4UAAt,FONDO DE INVERSION HMC RENTA GLOBAL PESOS
CFIHMCRGPI,9769,I,FIRES,AAAw+cAAhAABP4UAAt,FONDO DE INVERSION HMC RENTA GLOBAL PESOS
CFIHMCRGPX,9769,X,FIRES,AAAw+cAAhAABP4UAAt,FONDO DE INVERSION HMC RENTA GLOBAL PESOS
CFIAFE2F-E,10344,F,FINRE,AAAw+cAAhAABQKFAAt,FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO II
CFIAFE2I,10344,I,FINRE,AAAw+cAAhAABQKFAAt,FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO II
CFIAFE2R,10344,R,FINRE,AAAw+cAAhAABQKFAAt,FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO II
CFIMERPA,10121,A,FINRE,AAAw+cAAhAABQKHAAY,FONDO DE INVERSIÓN ACTIVA MERCADO PAGO
CFIMERPB,10121,B,FINRE,AAAw+cAAhAABQKHAAY,FONDO DE INVERSIÓN ACTIVA MERCADO PAGO
CFIMERPI-E,10121,I,FINRE,AAAw+cAAhAABQKHAAY,FONDO DE INVERSIÓN ACTIVA MERCADO PAGO
CFILVMXA-E,9639,A,FINRE,AAAw+cAAhAABP4TAAO,FONDO DE INVERSIÓN LARRAÍN VIAL MÉXICO MEZZANINE
CFILVMXB-E,9639,B,FINRE,AAAw+cAAhAABP4TAAO,FONDO DE INVERSIÓN LARRAÍN VIAL MÉXICO MEZZANINE
CFILVMXI-E,9639,I,FINRE,AAAw+cAAhAABP4TAAO,FONDO DE INVERSIÓN LARRAÍN VIAL MÉXICO MEZZANINE
CFIPTPG7-E,9264,UNICA,FINRE,AAAw+cAAhAABP4NAAq,PICTON-TPG VII FONDO DE INVERSION
CFIXHPSA-E,9718,A,FINRE,AAAw+cAAhAABP4WAAd,XLC – HPS MEZZANINE IV FONDO DE INVERSIÓN
CFIXHPSB-E,9718,B,FINRE,AAAw+cAAhAABP4WAAd,XLC – HPS MEZZANINE IV FONDO DE INVERSIÓN
CFIXDPFP-E,10477,A,FINRE,AAAw+cAAhAABQK+AAN,XLC DEUDA PRIVADA I FONDO DE INVERSIÓN
CFICGPE4-E,7260,A,FINRE,AAAw+cAAhAABP4JAAD,COMPASS PRIVATE EQUITY IV FONDO DE INVERSION
CFISDPAA-E,10649,A,FINRE,AAAw+cAAhAABQK7AAn,FONDO DE INVERSIÓN SECURITY DEUDA PRIVADA AUTOMOTRIZ III
CFISDPAS-E,10649,A,FINRE,AAAw+cAAhAABQK7AAn,FONDO DE INVERSIÓN SECURITY DEUDA PRIVADA AUTOMOTRIZ III
CFISDP2A-E,10649,A,FINRE,AAAw+cAAhAABQK7AAn,FONDO DE INVERSIÓN SECURITY DEUDA PRIVADA AUTOMOTRIZ III
CFISDP2B-E,10649,A,FINRE,AAAw+cAAhAABQK7AAn,FONDO DE INVERSIÓN SECURITY DEUDA PRIVADA AUTOMOTRIZ III
CFISDP2S-E,10649,A,FINRE,AAAw+cAAhAABQK7AAn,FONDO DE INVERSIÓN SECURITY DEUDA PRIVADA AUTOMOTRIZ III
CFIOREIA-E,9846,A,FINRE,AAAw+cAAhAABP4XABA,FONDO DE INVERSIÓN SINGULAR OAKTREE REAL ESTATE INCOME
CFIOREII-E,9846,I,FINRE,AAAw+cAAhAABP4XABA,FONDO DE INVERSIÓN SINGULAR OAKTREE REAL ESTATE INCOME
CFIOREIO-E,9846,O,FINRE,AAAw+cAAhAABP4XABA,FONDO DE INVERSIÓN SINGULAR OAKTREE REAL ESTATE INCOME
CFICGGLI-E,9165,A,FINRE,AAAw+cAAhAABP4LAAc,COMPASS GLOBAL INVESTMENTS FONDO DE INVERSION
CFIPE12A-E,9167,A,FINRE,AAAw+cAAhAABP4MAAm,COMPASS PRIVATE EQUITY XII FONDO DE INVERSION
CFIPE12B-E,9167,B,FINRE,AAAw+cAAhAABP4MAAm,COMPASS PRIVATE EQUITY XII FONDO DE INVERSION
CFIPE12C-E,9167,C,FINRE,AAAw+cAAhAABP4MAAm,COMPASS PRIVATE EQUITY XII FONDO DE INVERSION
CFIVMI2A-E,10055,A,FINRE,AAAw+cAAhAABQKCAAX,VOLCOMCAPITAL MID MARKET II FONDO DE INVERSIÓN
CFIVMI2B-E,10055,B,FINRE,AAAw+cAAhAABQKCAAX,VOLCOMCAPITAL MID MARKET II FONDO DE INVERSIÓN
CFIVMI2C-E,10055,C,FINRE,AAAw+cAAhAABQKCAAX,VOLCOMCAPITAL MID MARKET II FONDO DE INVERSIÓN
